NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"LeBron James, SF",CLE,74,37.8,6.49,1.93,8.42,37
"Stephen Curry, PG",GS,79,33.4,7.27,0.14,7.41,40
"Jimmy Butler, SG",CHI,76,37,4.82,1.8,6.62,43
"Russell Westbrook, PG",OKC,81,34.6,6.74,-0.47,6.27,42
"Draymond Green, PF",GS,76,32.5,1.55,5.59,7.14,24
"Rudy Gobert, C",UTAH,81,33.9,0.35,6.02,6.37,35
"James Harden, SG",HOU,81,36.4,6.38,-1.57,4.81,34
"Kawhi Leonard, SF",SA,74,33.4,5.83,1.25,7.08,51
"Chris Paul, PG",LAC,61,31.5,5.16,2.76,7.92,51
"Nikola Jokic, C",DEN,73,27.9,4.44,2.29,6.73,45
"Giannis Antetokounmpo, SF",MIL,80,35.6,2.35,1.86,4.21,27
"Anthony Davis, PF",NO,75,36.1,0.45,3.9,4.35,56
"Kyle Lowry, PG",TOR,60,37.4,4.7,1.18,5.88,28
"DeAndre Jordan, C",LAC,81,31.7,1.11,3.44,4.55,10
"Kevin Durant, SF",GS,62,33.4,4.41,1.33,5.74,27
"Paul Millsap, PF",ATL,69,34,1.23,3.35,4.58,35
"DeMarcus Cousins, C",NO/SAC,72,34.2,3.56,0.64,4.2,50
"Otto Porter Jr., SF",WSH,80,32.6,3.12,0.44,3.56,55
"Damian Lillard, PG",POR,75,35.9,4.63,-1.49,3.14,45
"Jae Crowder, SF",BOS,72,32.4,2.2,1.69,3.89,10
"Mike Conley, PG",MEM,69,33.2,4.67,-0.2,4.47,29
"Karl-Anthony Towns, C",MIN,82,37,3.54,-1.41,2.13,48
"Kemba Walker, PG",CHA,79,34.7,3.93,-1.25,2.68,47
"John Wall, PG",WSH,78,36.4,3.52,-1.26,2.26,59
"Kevin Love, PF",CLE,60,31.4,2.77,2.26,5.03,29
"Gorgui Dieng, PF",MIN,82,32.4,-0.8,3.52,2.72,30
"Paul George, SF",IND,75,35.9,2.67,-0.09,2.58,12
"Klay Thompson, SG",GS,78,34,2.78,-0.45,2.33,51
"Gordon Hayward, SF",UTAH,73,34.5,3.14,-0.08,3.06,17
"Myles Turner, C",IND,81,31.4,0.09,2.57,2.66,32
"Trevor Ariza, SF",HOU,80,34.7,0.86,1.07,1.93,25
"Bradley Beal, SG",WSH,77,34.9,3.29,-1.04,2.25,5
"Robert Covington, SF",PHI,67,31.6,-0.77,4.32,3.55,33
"Blake Griffin, PF",LAC,61,34,3.02,0.76,3.78,27
"Andre Iguodala, SF",GS,76,26.3,2.01,1.52,3.53,15
"Ricky Rubio, PG",MIN,75,32.9,1.73,0.76,2.49,17
"Marc Gasol, C",MEM,74,34.2,1.86,0.72,2.58,2
"Danilo Gallinari, SF",DEN,63,33.9,2.67,0.21,2.88,4
