player,games_played,minutes_played,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_points_made,three_points_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,efficiency
Cade Cunningham,63,32.5,17.5,6.7,16.1,41.8,1.8,5.7,31.8,2.2,2.6,84.3,0.9,4.6,5.5,5.5,1.2,0.7,3.6,17
Jalen Green,65,31.7,17,6,14.1,42.4,2.4,6.8,34.5,2.7,3.4,80.1,0.5,2.9,3.4,2.6,0.7,0.3,2,13.2
Scottie Barnes,71,35.5,15.5,6.2,12.7,49.1,0.8,2.6,30.1,2.2,3,73.2,2.7,4.9,7.6,3.5,1.1,0.8,1.8,19.3
Franz Wagner,79,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.6,2.4,2.8,86.3,1.1,3.4,4.5,2.9,0.9,0.4,1.5,15.4
Evan Mobley,67,33.9,14.9,6.1,12,50.6,0.3,1.4,25.3,2.4,3.6,66.4,2,6.2,8.2,2.5,0.8,1.6,2,19
Chris Duarte,55,28,13.1,4.9,11.3,43.2,1.7,4.6,36.9,1.6,2,80.4,0.7,3.4,4.1,2.1,1,0.2,1.6,12
Josh Giddey,54,31.5,12.5,5.2,12.4,41.9,1,3.9,26.3,1,1.5,70.9,1.8,6,7.8,6.4,0.9,0.4,3.2,17.2
Jalen Suggs,47,27.5,11.9,4.2,11.5,36.2,0.9,4.1,21.4,2.7,3.5,77.3,0.6,3,3.6,4.4,1.2,0.4,3,10.3
Davion Mitchell,73,27.4,11.2,4.6,11.1,41.6,1.4,4.3,31.6,0.7,1,64,0.5,1.8,2.3,4,0.8,0.3,1.5,10.1
Tre Mann,60,22.8,10.4,3.9,9.8,39.3,1.6,4.5,36,1.1,1.4,79.3,0.4,2.4,2.8,1.5,0.8,0.2,1.2,8.4
Bones Hyland,67,18.9,9.9,3.3,8.2,40,1.9,5.1,36.3,1.5,1.8,85,0.2,2.5,2.7,2.7,0.6,0.3,1.2,9.8
Terry Taylor,31,21.3,9.6,4.1,6.5,62.6,0.4,1.1,34.3,1,1.5,69.6,2.8,2.4,5.2,1.2,0.4,0.3,0.7,13.1
Herbert Jones,76,30.2,9.6,3.5,7.4,47.5,0.7,2.2,33.9,1.8,2.1,83.9,1.2,2.6,3.8,2.2,1.7,0.8,1.3,12.4
Duane Washington Jr.,46,20.1,9.6,3.5,8.8,39.4,1.6,4.5,36.6,1,1.3,76.3,0.1,1.7,1.8,1.8,0.5,0.1,1.2,6.9
Alperen Sengun,70,20.3,9.5,3.4,7.2,47.5,0.4,1.6,25.7,2.3,3.3,70.7,2,3.5,5.5,2.5,0.8,1,2,12.5
Jonathan Kuminga,67,16.8,9.1,3.3,6.5,50.5,0.7,2.1,31.5,1.8,2.7,67.6,0.8,2.5,3.3,0.9,0.4,0.3,1.1,8.9
Cam Thomas,65,17.9,8.7,3.3,7.7,43.2,0.7,2.6,26.7,1.3,1.6,83.5,0.2,2.2,2.4,1.2,0.5,0.1,0.8,7.5
Ayo Dosunmu,75,27.2,8.5,3.5,6.8,51.7,0.9,2.4,37.1,0.6,0.9,68.1,0.3,2.4,2.7,3.3,0.7,0.4,1.3,10.8
Aaron Wiggins,50,24.2,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,1,2.5,3.5,1.4,0.6,0.2,1.1,8.9
Corey Kispert,75,23.3,8.1,3,6.6,45.1,1.4,4.1,34.5,0.7,0.8,86.7,0.7,2,2.7,1.1,0.4,0.3,0.7,8.2
Isaiah Jackson,34,14.1,8.1,3.1,5.6,56.3,0.1,0.4,26.7,1.6,2.4,67.5,1.7,2.4,4.1,0.3,0.6,1.4,1.1,10.2
Josh Christopher,72,17.8,7.8,3,6.7,44.4,0.8,2.5,29.7,1.1,1.5,74.3,0.7,1.8,2.5,2,0.9,0.2,1.5,7.7
